"id","ko","Iteration_query.def","log2FoldChange","padj","Factor","qCov","n","desc","category","class","path","direction"
"ko00561","K01054","KXJ12223.1",-1.51733250370422,2.62497052677265e-05,"Vibrio_Vibrio_vs_NoVibrio",0.852804996002415,5,"acylglycerol lipase [EC:3.1.1.23]","Metabolism"," Lipid metabolism","Glycerolipid metabolism","Down"
"ko00561","K14073","KXJ12822.1",-2.46718280330416,8.39755742765006e-05,"Vibrio_Vibrio_vs_NoVibrio",0.742652329749104,3,"pancreatic triacylglycerol lipase [EC:3.1.1.3]","Metabolism"," Lipid metabolism","Glycerolipid metabolism","Down"
"ko00564","K05929","KXJ14421.1",-1.4116576698088,0.00724147176822183,"Vibrio_Vibrio_vs_NoVibrio",0.519015752940687,3,"phosphoethanolamine N-methyltransferase [EC:2.1.1.103]","Metabolism"," Lipid metabolism","Glycerophospholipid metabolism","Down"
"ko00564","K01047","KXJ14279.1",1.65296242112751,0.00931027052604788,"Vibrio_Vibrio_vs_NoVibrio",0.835616438356164,1,"secretory phospholipase A2 [EC:3.1.1.4]","Metabolism"," Lipid metabolism","Glycerophospholipid metabolism","Up"
"ko00565","K01047","KXJ14279.1",1.65296242112751,0.00931027052604788,"Vibrio_Vibrio_vs_NoVibrio",0.835616438356164,1,"secretory phospholipase A2 [EC:3.1.1.4]","Metabolism"," Lipid metabolism","Ether lipid metabolism","Up"
"ko00590","K04097","KXJ13353.1",-1.60254508077283,3.24306764176168e-06,"Vibrio_Vibrio_vs_NoVibrio",0.923187721962866,5,"prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]","Metabolism"," Lipid metabolism","Arachidonic acid metabolism","Down"
"ko00590","K01047","KXJ14279.1",1.65296242112751,0.00931027052604788,"Vibrio_Vibrio_vs_NoVibrio",0.835616438356164,1,"secretory phospholipase A2 [EC:3.1.1.4]","Metabolism"," Lipid metabolism","Arachidonic acid metabolism","Up"
"ko00590","K15717","KXJ09149.1",-1.8463479058595,1.63275590100153e-06,"Vibrio_Vibrio_vs_NoVibrio",0.76959852618761,9,"prostamide/prostaglandin F2alpha synthase [EC:1.11.1.20]","Metabolism"," Lipid metabolism","Arachidonic acid metabolism","Down"
"ko00591","K07424","KXJ13064.1",2.31611914304817,0.00191437224515784,"Vibrio_Vibrio_vs_NoVibrio",0.919854172024533,6,"cytochrome P450 family 3 subfamily A [EC:1.14.14.1]","Metabolism"," Lipid metabolism","Linoleic acid metabolism","Up"
"ko00591","K01047","KXJ14279.1",1.65296242112751,0.00931027052604788,"Vibrio_Vibrio_vs_NoVibrio",0.835616438356164,1,"secretory phospholipase A2 [EC:3.1.1.4]","Metabolism"," Lipid metabolism","Linoleic acid metabolism","Up"
"ko00592","K01047","KXJ14279.1",1.65296242112751,0.00931027052604788,"Vibrio_Vibrio_vs_NoVibrio",0.835616438356164,1,"secretory phospholipase A2 [EC:3.1.1.4]","Metabolism"," Lipid metabolism","alpha-Linolenic acid metabolism","Up"
"ko00600","K04715","KXJ15885.1",1.28262330659709,0.000182923557608631,"Vibrio_Vibrio_vs_NoVibrio",0.807750524223844,4,"ceramide kinase [EC:2.7.1.138]","Metabolism"," Lipid metabolism","Sphingolipid metabolism","Up"
"ko00601","K00716","KXJ14259.1",-1.1089620140635,0.00399326789206692,"Vibrio_Vibrio_vs_NoVibrio",0.799634378816311,2,"galactoside 3(4)-fucosyltransferase 3 [EC:2.4.1.65]","Metabolism"," Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - lacto and neolacto series","Down"
"ko00630","K00015","KXJ14454.1",-1.25959661696678,0.000120534957466899,"Vibrio_Vibrio_vs_NoVibrio",0.862655411519918,9,"glyoxylate reductase [EC:1.1.1.26]","Metabolism"," Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism","Down"
"ko00650","K01641","KXJ16686.1",1.49525569247926,0.00224205645197572,"Vibrio_Vibrio_vs_NoVibrio",0.883034199637512,8,"hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]","Metabolism"," Carbohydrate metabolism","Butanoate metabolism","Up"
"ko00670","K00289","KXJ12227.1",1.17196190884903,0.0028275618509092,"Vibrio_Vibrio_vs_NoVibrio",0.992516758404769,7,"formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]","Metabolism"," Metabolism of cofactors and vitamins","One carbon pool by folate","Up"
"ko00750","K06215","KXJ09385.1",-1.03366110812438,0.00108411671657855,"Vibrio_Vibrio_vs_NoVibrio",0.909108891769583,8,"pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]","Metabolism"," Metabolism of cofactors and vitamins","Vitamin B6 metabolism","Down"
"ko00790","K01930","KXJ09840.1",-1.44868366053184,2.00483143513336e-06,"Vibrio_Vibrio_vs_NoVibrio",0.837769988322799,8,"folylpolyglutamate synthase [EC:6.3.2.17]","Metabolism"," Metabolism of cofactors and vitamins","Folate biosynthesis","Down"
"ko00830","K07424","KXJ13064.1",2.31611914304817,0.00191437224515784,"Vibrio_Vibrio_vs_NoVibrio",0.919854172024533,6,"cytochrome P450 family 3 subfamily A [EC:1.14.14.1]","Metabolism"," Metabolism of cofactors and vitamins","Retinol metabolism","Up"
"ko00830","K11154","KXJ14321.1",-1.26666061830174,0.00222221858644661,"Vibrio_Vibrio_vs_NoVibrio",0.906867687577367,4,"retinol dehydrogenase 16 [EC:1.1.1.-]","Metabolism"," Metabolism of cofactors and vitamins","Retinol metabolism","Down"
"ko00900","K01641","KXJ16686.1",1.49525569247926,0.00224205645197572,"Vibrio_Vibrio_vs_NoVibrio",0.883034199637512,8,"hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]","Metabolism"," Metabolism of terpenoids and polyketides","Terpenoid backbone biosynthesis","Up"
"ko00910","K18245","KXJ08873.1",-2.13727516853961,6.57046884276967e-06,"Vibrio_Vibrio_vs_NoVibrio",0.956153846153846,5,"carbonic anhydrase 2 [EC:4.2.1.1]","Metabolism"," Energy metabolism","Nitrogen metabolism","Down"
"ko00980","K00799","KXJ09334.1",-1.35440548666252,0.000851572781574294,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Metabolism of xenobiotics by cytochrome P450","Down"
"ko00980","K00799","KXJ09335.1",-1.39717609302818,4.61898161480199e-07,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Metabolism of xenobiotics by cytochrome P450","Down"
"ko00980","K04097","KXJ13353.1",-1.60254508077283,3.24306764176168e-06,"Vibrio_Vibrio_vs_NoVibrio",0.923187721962866,5,"prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Metabolism of xenobiotics by cytochrome P450","Down"
"ko00982","K00799","KXJ09334.1",-1.35440548666252,0.000851572781574294,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Drug metabolism - cytochrome P450","Down"
"ko00982","K04097","KXJ13353.1",-1.60254508077283,3.24306764176168e-06,"Vibrio_Vibrio_vs_NoVibrio",0.923187721962866,5,"prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Drug metabolism - cytochrome P450","Down"
"ko00982","K00799","KXJ09335.1",-1.39717609302818,4.61898161480199e-07,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Drug metabolism - cytochrome P450","Down"
"ko00983","K03927","KXJ11957.1",-1.82491059172903,0.00134618991353843,"Vibrio_Vibrio_vs_NoVibrio",0.626266346512585,4,"carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56]","Metabolism"," Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes","Down"
"ko00983","K00799","KXJ09335.1",-1.39717609302818,4.61898161480199e-07,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes","Down"
"ko00983","K00799","KXJ09334.1",-1.35440548666252,0.000851572781574294,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes","Down"
"ko01040","K00507","KXJ14065.1",-2.41337795499015,0.000272839338557047,"Vibrio_Vibrio_vs_NoVibrio",0.842384217943539,7,"stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]","Metabolism"," Lipid metabolism","Biosynthesis of unsaturated fatty acids","Down"
"ko03013","K13175","KXJ15083.1",-20.6113220414025,3.81055576100751e-05,"Vibrio_Vibrio_vs_NoVibrio",0.848667727283453,6,"THO complex subunit 6","Genetic Information Processing"," Translation","RNA transport","Down"
"ko03013","K14314","KXJ11455.1",1.26350785019267,0.00222630280951783,"Vibrio_Vibrio_vs_NoVibrio",0.637328174861644,6,"nuclear pore complex protein Nup210","Genetic Information Processing"," Translation","RNA transport","Up"
"ko03015","K15544","KXJ15545.1",1.25594223474926,0.00439654510961404,"Vibrio_Vibrio_vs_NoVibrio",0.615953347912111,9,"RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1.3.16]","Genetic Information Processing"," Translation","mRNA surveillance pathway","Up"
"ko03050","K06696","KXJ10301.1",1.09005652003007,0.00133407204579315,"Vibrio_Vibrio_vs_NoVibrio",0.907630522088353,4,"proteasome activator subunit 1 (PA28 alpha)","Genetic Information Processing"," Folding, sorting and degradation","Proteasome","Up"
"ko03060","K09540","KXJ14394.1",1.12617944144127,2.39690231521558e-06,"Vibrio_Vibrio_vs_NoVibrio",0.517509638758591,4,"translocation protein SEC63","Genetic Information Processing"," Folding, sorting and degradation","Protein export","Up"
"ko03320","K08526","KXJ14931.1",-1.47319826460882,0.000542813104468966,"Vibrio_Vibrio_vs_NoVibrio",0.684424715049345,3,"retinoid X receptor gamma","Organismal Systems"," Endocrine system","PPAR signaling pathway","Down"
"ko03320","K00507","KXJ14065.1",-2.41337795499015,0.000272839338557047,"Vibrio_Vibrio_vs_NoVibrio",0.842384217943539,7,"stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]","Organismal Systems"," Endocrine system","PPAR signaling pathway","Down"
"ko03410","K10567","KXJ16558.1",-1.18753556440734,0.00922056364569948,"Vibrio_Vibrio_vs_NoVibrio",0.700899742930591,2,"endonuclease VIII-like 1 [EC:3.2.2.- 4.2.99.18]","Genetic Information Processing"," Replication and repair","Base excision repair","Down"
"ko04010","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","MAPK signaling pathway","Up"
"ko04010","K04437","KXJ05538.1",1.68532543791687,0.00662622877216786,"Vibrio_Vibrio_vs_NoVibrio",0.584597432905484,3,"filamin","Environmental Information Processing"," Signal transduction","MAPK signaling pathway","Up"
"ko04010","K03173","KXJ06389.1",1.78777848927817,0.000630631664080766,"Vibrio_Vibrio_vs_NoVibrio",0.913173652694611,2,"TNF receptor-associated factor 2 [EC:2.3.2.27]","Environmental Information Processing"," Signal transduction","MAPK signaling pathway","Up"
"ko04011","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","MAPK signaling pathway - yeast","Up"
"ko04012","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","ErbB signaling pathway","Up"
"ko04013","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","MAPK signaling pathway - fly","Up"
"ko04014","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","Ras signaling pathway","Up"
"ko04014","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","Ras signaling pathway","Down"
"ko04014","K01047","KXJ14279.1",1.65296242112751,0.00931027052604788,"Vibrio_Vibrio_vs_NoVibrio",0.835616438356164,1,"secretory phospholipase A2 [EC:3.1.1.4]","Environmental Information Processing"," Signal transduction","Ras signaling pathway","Up"
"ko04015","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","Rap1 signaling pathway","Up"
"ko04015","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","Rap1 signaling pathway","Down"
"ko04015","K06070","KXJ12287.1",1.43185212451441,2.51949165595433e-06,"Vibrio_Vibrio_vs_NoVibrio",0.624790681038779,10,"protein kinase D [EC:2.7.11.13]","Environmental Information Processing"," Signal transduction","Rap1 signaling pathway","Up"
"ko04016","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","MAPK signaling pathway - plant","Down"
"ko04020","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","Calcium signaling pathway","Down"
"ko04020","K04223","KXJ14023.1",1.88480726606499,0.0069576268232629,"Vibrio_Vibrio_vs_NoVibrio",0.676959013819096,6,"tachykinin receptor 2","Environmental Information Processing"," Signal transduction","Calcium signaling pathway","Up"
"ko04020","K04142","KXJ16116.1",1.46436304450084,5.01401453615954e-06,"Vibrio_Vibrio_vs_NoVibrio",0.615951029112686,6,"adrenergic receptor beta-2","Environmental Information Processing"," Signal transduction","Calcium signaling pathway","Up"
"ko04020","K05853","KXJ11278.1",1.05586949434883,0.00238247153620355,"Vibrio_Vibrio_vs_NoVibrio",0.818172664917685,10,"Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum [EC:3.6.3.8]","Environmental Information Processing"," Signal transduction","Calcium signaling pathway","Up"
"ko04022","K05853","KXJ11278.1",1.05586949434883,0.00238247153620355,"Vibrio_Vibrio_vs_NoVibrio",0.818172664917685,10,"Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum [EC:3.6.3.8]","Environmental Information Processing"," Signal transduction","cGMP-PKG signaling pathway","Up"
"ko04022","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","cGMP-PKG signaling pathway","Up"
"ko04022","K04142","KXJ16116.1",1.46436304450084,5.01401453615954e-06,"Vibrio_Vibrio_vs_NoVibrio",0.615951029112686,6,"adrenergic receptor beta-2","Environmental Information Processing"," Signal transduction","cGMP-PKG signaling pathway","Up"
"ko04022","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","cGMP-PKG signaling pathway","Down"
"ko04024","K05200","KXJ13713.1",-1.06423501254267,0.000944862366559252,"Vibrio_Vibrio_vs_NoVibrio",0.614190687361419,4,"glutamate receptor 4","Environmental Information Processing"," Signal transduction","cAMP signaling pathway","Down"
"ko04024","K04142","KXJ16116.1",1.46436304450084,5.01401453615954e-06,"Vibrio_Vibrio_vs_NoVibrio",0.615951029112686,6,"adrenergic receptor beta-2","Environmental Information Processing"," Signal transduction","cAMP signaling pathway","Up"
"ko04024","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","cAMP signaling pathway","Down"
"ko04024","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","cAMP signaling pathway","Up"
"ko04062","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Organismal Systems"," Immune system","Chemokine signaling pathway","Up"
"ko04062","K08011","KXJ14574.1",2.30774277130537,1.44719929169278e-05,"Vibrio_Vibrio_vs_NoVibrio",0.660413396127682,3,"neutrophil cytosolic factor 1","Organismal Systems"," Immune system","Chemokine signaling pathway","Up"
"ko04062","K06068","KXJ15884.1",1.74033402538668,5.05246930867459e-06,"Vibrio_Vibrio_vs_NoVibrio",0.923271250366772,5,"novel protein kinase C delta type [EC:2.7.11.13]","Organismal Systems"," Immune system","Chemokine signaling pathway","Up"
"ko04064","K09849","KXJ16628.1",1.66076507281309,0.00180220827492833,"Vibrio_Vibrio_vs_NoVibrio",0.904043036492217,2,"TNF receptor-associated factor 5","Environmental Information Processing"," Signal transduction","NF-kappa B signaling pathway","Up"
"ko04064","K03173","KXJ06389.1",1.78777848927817,0.000630631664080766,"Vibrio_Vibrio_vs_NoVibrio",0.913173652694611,2,"TNF receptor-associated factor 2 [EC:2.3.2.27]","Environmental Information Processing"," Signal transduction","NF-kappa B signaling pathway","Up"
"ko04066","K04371","KXJ11891.1",2.36638973575469,6.22546979613582e-06,"Vibrio_Vibrio_vs_NoVibrio",0.866274729376633,3,"mitogen-activated protein kinase 1/3 [EC:2.7.11.24]","Environmental Information Processing"," Signal transduction","HIF-1 signaling pathway","Up"
